img,index,title,url,year,rating
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,44,The Usual Suspects,/title/tt0114814/,1995,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,45,Léon: The Professional,/title/tt0110413/,1994,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,46,The Lion King,/title/tt0110357/,1994,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,47,Terminator 2: Judgment Day,/title/tt0103064/,1991,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,48,Cinema Paradiso,/title/tt0095765/,1988,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,49,Grave of the Fireflies,/title/tt0095327/,1988,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,50,Back to the Future,/title/tt0088763/,1985,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,51,Once Upon a Time in the West,/title/tt0064116/,1968,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,52,Psycho,/title/tt0054215/,1960,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,53,Casablanca,/title/tt0034583/,1942,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,54,The Great Dictator,/title/tt0032553/,1940,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,55,Modern Times,/title/tt0027977/,1936,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,56,City Lights,/title/tt0021749/,1931,8.5
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,57,Uri: The Surgical Strike,/title/tt8291224/,2019,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,58,Capernaum,/title/tt8267604/,2018,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,59,Andhadhun,/title/tt8108198/,2018,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,60,Your Name.,/title/tt5311514/,2016,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,61,Dangal,/title/tt5074352/,2016,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,62,Spider-Man: Into the Spider-Verse,/title/tt4633694/,2018,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,63,Coco,/title/tt2380307/,I 2017,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,64,Django Unchained,/title/tt1853728/,2012,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,65,The Dark Knight Rises,/title/tt1345836/,2012,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,66,3 Idiots,/title/tt1187043/,2009,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,67,Taare Zameen Par,/title/tt0986264/,2007,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,68,WALL·E,/title/tt0910970/,2008,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,69,The Lives of Others,/title/tt0405094/,2006,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,70,Oldboy,/title/tt0364569/,2003,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,71,Memento,/title/tt0209144/,2000,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,72,Princess Mononoke,/title/tt0119698/,1997,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,73,Once Upon a Time in America,/title/tt0087843/,1984,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,74,Raiders of the Lost Ark,/title/tt0082971/,1981,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,75,The Shining,/title/tt0081505/,1980,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,76,Apocalypse Now,/title/tt0078788/,1979,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,77,Alien,/title/tt0078748/,1979,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,/title/tt0057012/,1964,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,79,Witness for the Prosecution,/title/tt0051201/,1957,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,80,Paths of Glory,/title/tt0050825/,1957,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,81,Rear Window,/title/tt0047396/,1954,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,82,Sunset Blvd.,/title/tt0043014/,1950,8.4
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,83,Klaus,/title/tt4729430/,2019,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,84,The Hunt,/title/tt2106476/,2012,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,85,Ford v Ferrari,/title/tt1950186/,2019,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,86,A Separation,/title/tt1832382/,2011,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,87,Incendies,/title/tt1255953/,2010,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,88,My Father and My Son,/title/tt0476735/,2005,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,89,Toy Story 3,/title/tt0435761/,2010,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,90,Inglourious Basterds,/title/tt0361748/,2009,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,91,Eternal Sunshine of the Spotless Mind,/title/tt0338013/,2004,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,92,Amélie,/title/tt0211915/,2001,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,93,Snatch,/title/tt0208092/,2000,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,94,Requiem for a Dream,/title/tt0180093/,2000,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,95,American Beauty,/title/tt0169547/,1999,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,96,Good Will Hunting,/title/tt0119217/,1997,8.3
